date,revenue,orders,marketing_spend,website_traffic,conversion_rate,avg_order_value,month,month_name,day_of_week,week
2025-12-05,64093.38,725,9893.62,17833,4.07,88.4,12,December,Friday,49
2025-12-06,60681.78,682,10027.79,16966,4.02,88.98,12,December,Saturday,49
2025-12-07,57727.35,691,9594.73,17416,3.97,83.54,12,December,Sunday,49
2025-12-08,58402.88,661,9910.75,16400,4.03,88.36,12,December,Monday,50
2025-12-09,59152.54,731,9770.61,19078,3.83,80.92,12,December,Tuesday,50
2025-12-10,60162.93,666,9171.54,16895,3.94,90.33,12,December,Wednesday,50
2025-12-11,62749.83,772,10518.12,19667,3.93,81.28,12,December,Thursday,50
2025-12-12,64905.73,767,9945.58,19506,3.93,84.62,12,December,Friday,50
2025-12-13,60093.57,705,9029.19,18211,3.87,85.24,12,December,Saturday,50
2025-12-14,57743.5,668,9405.42,16790,3.98,86.44,12,December,Sunday,50
2025-12-15,57671.13,686,10364.07,16501,4.16,84.07,12,December,Monday,51
2025-12-16,59433.81,698,10179.82,17649,3.95,85.15,12,December,Tuesday,51
2025-12-17,63002.07,763,9865.84,18749,4.07,82.57,12,December,Wednesday,51
2025-12-18,67851.11,800,10253.46,19735,4.05,84.81,12,December,Thursday,51
2025-12-19,67370.23,795,10228.8,20168,3.94,84.74,12,December,Friday,51
2025-12-20,63887.64,744,11149.39,19219,3.87,85.87,12,December,Saturday,51
2025-12-21,61742.41,725,10130.36,18135,4.0,85.16,12,December,Sunday,51
2025-12-22,58328.93,692,9881.34,17454,3.96,84.29,12,December,Monday,52
2025-12-23,61053.34,684,10399.41,17951,3.81,89.26,12,December,Tuesday,52
2025-12-24,63035.99,714,10162.27,17970,3.97,88.29,12,December,Wednesday,52
2025-12-25,66782.01,800,10213.04,21300,3.76,83.48,12,December,Thursday,52
2025-12-26,65239.46,770,10120.98,19532,3.94,84.73,12,December,Friday,52
2025-12-27,66487.79,778,10283.22,18569,4.19,85.46,12,December,Saturday,52
2025-12-28,66089.78,777,10268.57,19801,3.92,85.06,12,December,Sunday,52
2025-12-29,61362.32,728,10272.8,18390,3.96,84.29,12,December,Monday,1
2025-12-30,63141.35,732,10077.28,18944,3.86,86.26,12,December,Tuesday,1
2025-12-31,66242.58,763,10665.73,19411,3.93,86.82,12,December,Wednesday,1
