age_group,gender,activity,bmi,resting_hr,daily_steps,sleep_hours,vo2_max
30–44,Female,Sedentary,32.4,69,2242,5.0,34.6
30–44,Female,Sedentary,23.8,69,3504,5.1,40.9
18–29,Male,Lightly Active,25.1,81,6486,6.6,44.5
45–59,Female,Moderately Active,21.6,72,10615,8.8,38.1
60+,Male,Sedentary,32.6,64,3910,8.2,38.2
18–29,Female,Sedentary,24.3,95,3079,7.3,37.2
60+,Male,Lightly Active,34.7,74,8863,4.8,52.6
18–29,Female,Moderately Active,22.9,63,10456,7.1,46.5
60+,Male,Moderately Active,27.1,67,7187,4.6,51.7
60+,Male,Moderately Active,22.9,71,8549,6.4,48.3
18–29,Female,Lightly Active,31.9,79,5409,6.8,36.0
45–59,Female,Lightly Active,31.7,65,6669,7.8,40.0
60+,Male,Sedentary,27.3,87,4217,4.9,40.9
60+,Male,Sedentary,30.4,76,3150,6.8,33.8
60+,Female,Sedentary,35.6,70,2817,5.9,28.0
30–44,Female,Very Active,23.5,61,14938,7.8,49.0
18–29,Male,Lightly Active,22.8,64,7318,7.7,45.2
45–59,Male,Sedentary,29.4,82,3332,6.3,37.5
45–59,Male,Lightly Active,23.5,81,7696,9.1,46.4
45–59,Female,Lightly Active,27.1,77,5444,6.3,39.1
30–44,Female,Lightly Active,23.4,71,9876,5.6,39.6
30–44,Female,Moderately Active,25.7,66,9742,5.6,46.5
18–29,Male,Moderately Active,18.8,69,9102,6.8,45.6
45–59,Female,Moderately Active,20.9,69,13128,4.5,43.5
18–29,Male,Very Active,20.9,62,19158,6.8,57.8
45–59,Female,Sedentary,28.2,91,2484,8.6,35.8
45–59,Male,Moderately Active,19.7,61,11991,5.9,50.0
30–44,Male,Very Active,20.7,52,14508,7.6,53.6
30–44,Male,Lightly Active,29.6,66,7128,5.6,44.8
30–44,Male,Moderately Active,27.4,67,11016,7.8,49.9
60+,Male,Very Active,16.7,53,24910,7.5,57.3
45–59,Female,Moderately Active,22.6,68,13558,6.1,48.8
30–44,Female,Sedentary,35.6,84,3853,5.0,30.7
18–29,Female,Lightly Active,28.0,77,7648,5.2,39.0
18–29,Female,Moderately Active,25.8,62,7742,8.1,35.6
30–44,Male,Very Active,24.2,49,16647,5.1,53.7
60+,Female,Sedentary,24.0,88,2648,7.0,30.9
45–59,Male,Lightly Active,27.4,83,6423,5.2,43.6
18–29,Male,Sedentary,31.5,81,3068,7.5,44.1
60+,Male,Lightly Active,26.9,78,3927,7.5,49.1
30–44,Male,Moderately Active,23.2,58,9875,8.0,42.1
60+,Female,Lightly Active,26.3,82,6690,5.3,37.1
18–29,Male,Lightly Active,21.9,75,7888,6.7,49.0
45–59,Male,Moderately Active,26.5,69,8776,8.5,51.0
60+,Female,Lightly Active,20.8,61,5314,7.8,37.5
18–29,Male,Moderately Active,21.9,68,8615,8.4,48.1
45–59,Female,Sedentary,32.5,84,2745,6.7,21.2
60+,Male,Sedentary,30.5,61,2097,8.9,40.1
18–29,Female,Moderately Active,23.0,62,13419,8.0,36.1
18–29,Female,Lightly Active,19.7,73,7663,7.7,37.1
45–59,Male,Lightly Active,26.3,65,10572,8.3,50.1
30–44,Female,Lightly Active,24.0,75,5702,4.4,40.4
18–29,Male,Moderately Active,26.0,71,12393,5.0,46.4
30–44,Male,Sedentary,26.3,85,2029,6.5,40.5
45–59,Female,Lightly Active,19.5,72,8704,4.2,43.2
30–44,Female,Sedentary,21.8,67,2828,4.8,31.9
30–44,Male,Very Active,21.8,57,15705,7.0,58.7
45–59,Male,Moderately Active,24.8,70,13305,9.2,51.7
30–44,Male,Moderately Active,20.8,68,13172,7.0,50.6
45–59,Female,Moderately Active,22.1,70,8344,6.1,41.6
30–44,Female,Moderately Active,27.0,67,10266,8.3,52.0
60+,Male,Lightly Active,30.9,74,8637,8.3,51.2
45–59,Female,Sedentary,30.4,62,2705,5.5,33.5
18–29,Male,Very Active,22.1,57,17070,7.5,55.7
60+,Female,Very Active,21.3,52,17883,7.6,51.9
30–44,Female,Very Active,24.1,48,20931,5.2,58.0
18–29,Female,Very Active,22.0,56,18337,4.8,51.4
18–29,Male,Moderately Active,27.4,61,9964,5.6,54.3
45–59,Male,Lightly Active,30.4,84,3554,5.0,41.7
18–29,Male,Moderately Active,25.8,61,12047,7.6,52.0
30–44,Female,Sedentary,26.4,77,3137,7.6,39.4
18–29,Female,Moderately Active,23.2,65,14406,5.7,47.2
30–44,Male,Moderately Active,19.2,60,11766,4.9,55.3
30–44,Male,Moderately Active,24.3,59,9253,7.5,49.3
30–44,Male,Lightly Active,26.2,74,4630,7.2,43.1
18–29,Female,Moderately Active,20.1,63,10120,7.9,47.2
18–29,Female,Very Active,28.5,58,17269,6.0,47.3
45–59,Male,Sedentary,31.9,71,3083,8.0,46.1
30–44,Female,Lightly Active,23.1,79,4606,7.8,42.1
45–59,Male,Moderately Active,31.1,60,4368,7.2,57.8
18–29,Female,Very Active,21.6,54,12650,7.4,48.2
18–29,Male,Moderately Active,27.2,58,5133,6.1,46.3
18–29,Male,Moderately Active,24.8,58,8340,6.4,52.8
30–44,Female,Sedentary,26.6,79,3193,6.1,34.1
30–44,Female,Lightly Active,25.2,72,8669,7.8,34.3
45–59,Male,Very Active,26.2,54,7433,6.2,60.3
30–44,Female,Lightly Active,30.0,61,4962,6.9,45.1
30–44,Female,Lightly Active,26.0,60,7092,8.4,45.2
30–44,Male,Lightly Active,18.3,72,5824,7.5,44.7
18–29,Female,Lightly Active,27.7,77,6743,5.4,33.0
30–44,Female,Lightly Active,21.5,73,7065,6.9,35.5
30–44,Male,Moderately Active,26.2,74,9594,7.7,46.3
30–44,Female,Lightly Active,23.6,72,8307,5.4,35.0
18–29,Female,Moderately Active,22.5,67,15843,5.4,44.0
45–59,Male,Lightly Active,23.9,72,4899,7.6,41.7
60+,Female,Very Active,25.2,52,19244,6.0,43.3
18–29,Male,Sedentary,19.8,66,4686,5.8,36.2
45–59,Female,Sedentary,32.8,85,4157,5.3,38.9
45–59,Female,Lightly Active,27.9,81,5466,8.1,41.0
30–44,Male,Very Active,22.6,57,14851,5.8,52.8
45–59,Female,Moderately Active,23.1,67,6688,8.3,45.2
45–59,Male,Moderately Active,26.1,73,9246,5.9,50.1
60+,Female,Lightly Active,24.7,68,5690,4.6,36.9
60+,Female,Lightly Active,24.7,81,7186,8.5,36.8
18–29,Male,Very Active,23.0,51,12023,6.5,62.4
30–44,Female,Lightly Active,33.4,70,6608,7.2,34.5
30–44,Male,Moderately Active,19.7,56,10958,7.8,50.8
18–29,Female,Moderately Active,26.1,66,9475,6.0,41.2
30–44,Female,Moderately Active,24.0,72,12344,7.4,38.0
60+,Female,Sedentary,27.9,80,2638,8.2,37.1
18–29,Male,Lightly Active,20.4,71,6988,7.2,50.1
30–44,Female,Sedentary,19.9,57,1960,5.6,33.4
45–59,Female,Very Active,23.6,55,13275,6.3,53.6
30–44,Female,Very Active,19.8,61,19361,7.4,48.0
30–44,Female,Lightly Active,30.6,69,3993,6.1,41.0
60+,Female,Very Active,20.4,56,18634,5.5,49.9
30–44,Male,Sedentary,31.9,60,2738,6.6,37.1
18–29,Male,Sedentary,26.0,79,1374,6.7,39.5
18–29,Female,Sedentary,25.8,82,2644,8.5,33.0
60+,Male,Very Active,20.6,49,18569,7.7,58.9
18–29,Female,Sedentary,31.3,67,4845,8.3,23.5
30–44,Female,Sedentary,32.7,88,4492,6.4,31.4
18–29,Female,Sedentary,27.4,80,2255,5.9,37.9
30–44,Female,Lightly Active,28.9,68,7698,5.6,37.6
60+,Female,Lightly Active,26.6,67,5828,7.4,32.9
30–44,Female,Sedentary,22.1,67,2510,9.0,37.1
60+,Female,Moderately Active,25.7,76,12713,6.3,45.4
18–29,Male,Very Active,22.1,52,16795,9.0,53.9
30–44,Male,Lightly Active,16.0,64,6846,6.8,39.6
60+,Male,Very Active,21.9,51,10129,8.2,59.9
30–44,Female,Moderately Active,19.1,65,8374,8.3,41.5
18–29,Male,Very Active,19.8,53,12847,5.1,45.3
60+,Female,Sedentary,27.7,77,3410,6.5,28.2
30–44,Female,Very Active,22.6,53,18561,5.5,48.5
30–44,Male,Moderately Active,21.8,61,14317,5.8,57.2
60+,Female,Sedentary,31.7,87,2247,5.4,35.9
18–29,Male,Moderately Active,24.1,69,14370,5.6,43.8
30–44,Female,Sedentary,26.8,55,2791,6.4,30.1
18–29,Male,Moderately Active,24.6,60,10673,7.7,55.8
30–44,Male,Moderately Active,28.4,60,10242,8.4,45.4
18–29,Male,Lightly Active,17.9,72,6880,8.3,47.9
45–59,Female,Sedentary,35.8,77,3557,8.8,29.6
18–29,Male,Very Active,21.3,58,19631,8.8,55.5
45–59,Female,Sedentary,24.9,87,2804,6.0,25.8
18–29,Female,Moderately Active,23.2,67,10695,5.1,41.9
30–44,Male,Moderately Active,21.7,62,8495,6.6,48.8
30–44,Male,Sedentary,23.6,90,3542,7.7,38.5
45–59,Male,Lightly Active,29.9,76,6899,5.8,52.9
30–44,Female,Very Active,23.2,59,13279,8.9,53.3
30–44,Female,Very Active,18.2,59,11648,4.5,46.6
60+,Male,Sedentary,32.5,65,3128,7.9,36.1
30–44,Female,Sedentary,31.7,86,4045,8.2,36.3
18–29,Male,Sedentary,21.3,93,4268,9.1,35.6
60+,Female,Moderately Active,25.1,68,7654,6.0,41.2
30–44,Male,Sedentary,32.2,92,3747,7.5,44.1
18–29,Male,Sedentary,20.7,92,3637,7.3,38.3
30–44,Male,Lightly Active,27.6,73,8577,8.3,42.2
18–29,Female,Very Active,21.2,56,17664,5.7,47.2
18–29,Female,Lightly Active,28.7,69,5998,5.2,34.5
45–59,Male,Moderately Active,21.5,59,12229,5.9,54.2
18–29,Male,Sedentary,34.4,85,938,7.8,40.7
45–59,Female,Moderately Active,23.7,63,8318,6.2,41.9
60+,Male,Moderately Active,22.5,67,8587,6.3,49.3
45–59,Female,Very Active,21.1,54,13645,8.0,52.8
45–59,Male,Moderately Active,27.3,56,7155,6.8,48.0
45–59,Male,Sedentary,25.2,72,2548,8.1,40.0
60+,Female,Lightly Active,30.7,73,5669,7.5,34.2
30–44,Male,Sedentary,30.1,78,2789,7.1,46.2
18–29,Female,Sedentary,21.8,78,3227,8.2,34.7
30–44,Male,Very Active,22.9,55,11620,8.9,51.8
30–44,Male,Lightly Active,26.7,67,5820,6.3,42.7
18–29,Female,Very Active,19.4,57,15679,5.8,47.4
45–59,Male,Sedentary,29.0,83,1516,6.9,39.2
18–29,Female,Very Active,24.1,57,15742,7.6,57.3
60+,Female,Very Active,25.5,57,16835,8.6,48.1
18–29,Female,Moderately Active,28.0,64,12167,6.7,42.2
18–29,Male,Sedentary,41.4,59,1944,8.9,37.0
18–29,Male,Very Active,22.8,49,15469,8.9,57.5
18–29,Male,Very Active,24.1,51,20339,8.2,54.2
18–29,Female,Sedentary,25.8,60,1611,7.5,29.9
18–29,Male,Very Active,27.3,55,15976,6.5,55.0
18–29,Male,Very Active,20.7,54,10671,8.4,57.3
18–29,Female,Sedentary,38.6,67,2656,8.2,32.2
30–44,Male,Lightly Active,33.3,81,5292,6.5,44.7
30–44,Female,Lightly Active,23.4,66,7061,6.0,41.3
30–44,Male,Lightly Active,30.6,78,6057,6.4,39.9
30–44,Female,Very Active,23.9,56,11531,5.7,50.6
18–29,Female,Very Active,21.8,50,21331,7.0,54.6
18–29,Male,Sedentary,28.3,71,3142,7.8,44.3
18–29,Female,Moderately Active,25.3,61,12671,7.0,43.6
45–59,Female,Lightly Active,27.9,71,4857,8.8,40.5
60+,Male,Lightly Active,32.5,62,5910,6.6,49.8
60+,Female,Moderately Active,26.3,64,12698,6.6,39.8
30–44,Female,Moderately Active,22.0,66,8850,5.6,41.4
30–44,Female,Lightly Active,29.5,84,6492,3.5,35.6
30–44,Female,Lightly Active,19.5,66,6401,7.5,37.0
45–59,Male,Very Active,21.9,59,7729,6.8,53.6
45–59,Male,Lightly Active,25.3,74,6396,5.4,43.2
45–59,Male,Lightly Active,29.1,85,5871,7.6,47.0
60+,Male,Very Active,27.0,56,15419,6.8,55.4
30–44,Male,Very Active,23.3,55,13481,7.7,57.5
45–59,Male,Moderately Active,23.3,69,7664,5.6,46.9
45–59,Male,Lightly Active,23.7,75,5279,5.0,48.1
30–44,Female,Moderately Active,27.2,70,9341,6.2,36.8
60+,Male,Moderately Active,23.9,68,11835,8.0,49.0
18–29,Female,Lightly Active,24.5,63,5660,7.3,41.8
60+,Female,Sedentary,33.9,64,3087,6.5,31.6
45–59,Female,Lightly Active,31.2,68,6801,7.6,34.6
18–29,Male,Lightly Active,22.7,74,5688,6.8,49.4
45–59,Female,Very Active,19.2,48,19399,6.8,47.0
18–29,Female,Moderately Active,24.2,66,9674,6.9,41.8
45–59,Female,Sedentary,23.1,89,2551,8.5,31.6
45–59,Male,Lightly Active,21.4,76,8157,8.2,43.0
45–59,Male,Lightly Active,22.3,67,6705,6.0,49.5
60+,Female,Lightly Active,30.7,63,2912,8.6,32.0
18–29,Male,Sedentary,32.4,85,872,6.1,37.3
18–29,Female,Very Active,28.7,57,21577,7.7,49.5
30–44,Female,Very Active,21.3,62,16290,7.8,52.0
18–29,Female,Very Active,26.0,49,15391,6.5,45.4
30–44,Female,Lightly Active,28.5,83,3172,7.8,40.5
18–29,Female,Very Active,21.5,53,15488,7.6,51.6
30–44,Female,Moderately Active,24.0,69,8179,6.8,37.6
30–44,Female,Lightly Active,24.3,72,6026,8.1,35.6
60+,Male,Sedentary,30.3,71,2417,6.1,39.0
18–29,Female,Sedentary,34.1,64,2768,5.4,37.5
60+,Female,Sedentary,27.1,67,3154,6.0,38.1
30–44,Female,Very Active,24.8,52,17304,6.8,53.1
30–44,Male,Moderately Active,28.6,69,10356,9.0,47.8
30–44,Male,Very Active,26.4,55,16373,6.6,58.0
30–44,Female,Moderately Active,20.7,68,6574,5.4,44.1
18–29,Male,Sedentary,28.7,79,2932,6.3,35.3
30–44,Female,Lightly Active,29.3,74,6810,8.0,37.3
18–29,Female,Sedentary,23.3,88,2936,8.5,39.0
30–44,Male,Very Active,19.7,61,21200,9.0,52.5
30–44,Male,Lightly Active,26.4,68,6103,4.8,46.3
30–44,Female,Sedentary,26.9,68,1940,10.0,33.1
45–59,Male,Lightly Active,25.8,64,6499,6.9,41.4
18–29,Female,Moderately Active,23.0,70,9236,7.6,45.9
60+,Female,Lightly Active,35.1,67,3912,8.2,35.8
45–59,Female,Sedentary,26.6,81,2756,7.4,37.8
60+,Male,Moderately Active,26.4,58,13746,7.7,59.2
45–59,Male,Sedentary,31.7,54,2704,8.2,40.2
18–29,Female,Moderately Active,19.1,68,12883,8.0,50.3
30–44,Male,Moderately Active,29.2,65,12078,9.0,50.5
18–29,Male,Sedentary,32.3,82,4893,6.1,31.4
45–59,Female,Lightly Active,27.1,72,7180,6.1,36.8
30–44,Male,Sedentary,34.5,67,3061,8.0,39.8
18–29,Male,Lightly Active,26.3,61,6634,8.5,52.0
60+,Female,Moderately Active,27.3,58,11112,5.1,43.4
18–29,Male,Lightly Active,19.0,80,6110,5.9,36.3
30–44,Male,Sedentary,33.3,68,2593,6.3,41.7
45–59,Male,Moderately Active,25.1,67,11514,7.8,50.4
18–29,Female,Moderately Active,25.1,57,9108,4.8,42.3
30–44,Female,Very Active,20.8,60,9465,8.4,50.0
45–59,Female,Very Active,22.3,59,11413,8.1,54.6
18–29,Female,Lightly Active,25.5,85,8970,5.4,38.6
30–44,Male,Lightly Active,21.9,70,6021,4.3,45.8
18–29,Female,Moderately Active,25.6,59,12190,7.0,41.0
45–59,Male,Moderately Active,29.5,62,8964,7.7,44.9
18–29,Female,Lightly Active,20.8,69,7833,8.1,38.8
60+,Female,Very Active,24.0,57,17408,8.0,47.8
60+,Male,Moderately Active,23.2,56,14880,7.5,50.6
18–29,Female,Lightly Active,24.4,72,8474,7.3,29.9
30–44,Female,Moderately Active,24.7,60,12118,4.0,43.4
30–44,Male,Sedentary,29.5,92,2529,6.9,39.8
45–59,Female,Very Active,23.2,59,11884,8.5,50.3
30–44,Female,Lightly Active,22.0,76,6289,6.2,38.9
18–29,Male,Moderately Active,28.0,68,10541,7.2,51.9
18–29,Male,Moderately Active,24.8,64,9600,5.0,52.2
60+,Female,Sedentary,32.1,81,3564,7.6,32.2
30–44,Male,Moderately Active,28.4,57,10670,7.0,53.8
60+,Male,Lightly Active,18.8,65,6496,8.8,44.7
30–44,Female,Lightly Active,29.0,73,8786,4.7,32.6
60+,Female,Sedentary,28.1,65,3083,5.3,35.8
18–29,Male,Moderately Active,27.8,65,7518,7.3,49.2
18–29,Male,Very Active,20.9,54,19583,5.6,55.5
60+,Female,Sedentary,33.9,85,3167,8.0,38.9
60+,Male,Moderately Active,21.1,68,9900,7.5,49.1
30–44,Female,Very Active,23.8,51,12654,6.7,51.2
30–44,Female,Sedentary,30.5,61,4008,7.1,37.2
30–44,Male,Very Active,22.4,56,21916,7.4,54.9
30–44,Female,Sedentary,23.6,61,2462,7.0,36.0
18–29,Female,Very Active,21.9,58,17041,9.6,50.7
60+,Female,Moderately Active,27.5,64,11465,8.5,48.2
18–29,Male,Very Active,26.4,49,9897,6.7,54.8
45–59,Male,Lightly Active,34.3,80,6434,8.2,42.5
18–29,Female,Lightly Active,28.6,78,3888,7.7,39.2
18–29,Female,Very Active,23.4,49,15936,6.0,46.1
45–59,Female,Moderately Active,25.9,66,15478,5.9,48.0
30–44,Male,Moderately Active,30.7,72,7311,4.7,48.9
45–59,Female,Moderately Active,26.2,63,14627,8.7,49.9
18–29,Male,Moderately Active,24.8,69,14408,7.9,46.0
60+,Female,Sedentary,27.6,84,2995,7.1,37.2
45–59,Female,Sedentary,28.2,65,3412,7.8,32.0
60+,Female,Sedentary,31.0,81,2773,8.4,30.6
18–29,Male,Sedentary,25.1,59,2642,5.9,41.8
30–44,Female,Very Active,21.3,51,16711,5.7,50.6
30–44,Male,Lightly Active,26.2,67,5337,6.4,47.2
30–44,Male,Lightly Active,24.7,71,7209,5.9,42.2
30–44,Female,Sedentary,32.1,84,3033,7.7,26.8
18–29,Female,Very Active,24.4,56,12264,6.0,52.6
30–44,Female,Sedentary,30.4,70,3567,9.2,30.3
18–29,Female,Sedentary,31.5,66,3588,8.2,33.2
30–44,Male,Moderately Active,24.9,59,12970,7.2,52.5
18–29,Male,Sedentary,15.0,55,2616,5.5,40.6
18–29,Female,Moderately Active,21.7,62,12763,6.7,42.2
45–59,Female,Lightly Active,29.3,76,9750,6.5,35.8
30–44,Female,Moderately Active,21.8,63,10565,6.5,47.4
30–44,Male,Sedentary,33.4,77,3094,6.9,43.1
30–44,Male,Lightly Active,30.1,66,7517,6.7,49.6
45–59,Female,Lightly Active,25.4,74,3251,6.0,33.6
30–44,Male,Moderately Active,22.6,71,7494,5.6,47.4
30–44,Female,Very Active,22.8,54,14072,9.0,48.5
60+,Male,Sedentary,28.8,78,2727,5.9,41.4
30–44,Male,Moderately Active,26.5,64,10746,8.0,56.7
60+,Male,Sedentary,16.8,81,3213,5.6,40.2
45–59,Male,Moderately Active,22.2,70,7479,7.6,48.3
18–29,Female,Very Active,20.4,52,20032,6.5,51.0
30–44,Male,Sedentary,15.9,76,3266,7.6,34.5
45–59,Male,Sedentary,26.4,84,3047,7.2,31.6
60+,Female,Moderately Active,19.7,69,11579,5.0,38.3
30–44,Male,Very Active,21.9,53,13846,6.7,55.3
18–29,Female,Moderately Active,22.9,64,9975,8.7,44.7
30–44,Male,Lightly Active,28.3,79,4875,7.2,49.5
18–29,Male,Moderately Active,23.7,59,5651,7.6,55.3
45–59,Male,Lightly Active,19.7,57,6145,8.1,48.6
30–44,Female,Very Active,23.6,52,22036,6.3,44.8
45–59,Male,Very Active,28.6,57,14009,7.0,56.1
60+,Female,Very Active,25.4,55,10551,6.8,55.7
45–59,Female,Very Active,24.4,51,17976,6.6,44.4
45–59,Male,Very Active,22.3,55,14324,5.1,57.0
45–59,Female,Sedentary,26.4,54,3349,6.6,33.1
45–59,Male,Very Active,21.5,54,18312,8.2,60.2
60+,Male,Sedentary,30.3,80,2594,8.1,28.7
18–29,Female,Lightly Active,22.0,63,7122,6.2,40.4
30–44,Male,Lightly Active,27.4,82,6446,5.5,40.1
18–29,Female,Sedentary,25.5,85,1425,5.7,36.5
60+,Female,Lightly Active,19.6,77,5713,6.3,33.0
45–59,Male,Lightly Active,23.8,75,5255,6.4,45.4
30–44,Male,Sedentary,35.5,69,1793,5.6,32.1
18–29,Female,Lightly Active,27.1,79,5229,7.4,33.9
30–44,Male,Lightly Active,15.0,65,7506,8.5,46.9
45–59,Male,Moderately Active,22.3,70,10530,7.3,47.3
18–29,Male,Moderately Active,27.4,71,6417,4.5,52.4
18–29,Male,Moderately Active,23.5,59,8056,8.7,51.2
60+,Female,Moderately Active,26.2,59,10533,8.8,42.4
45–59,Male,Moderately Active,23.2,63,10493,5.7,41.3
18–29,Male,Sedentary,30.0,78,2743,7.5,40.6
30–44,Female,Lightly Active,26.6,73,7630,7.5,40.8
60+,Female,Lightly Active,23.9,69,7053,5.7,40.0
45–59,Female,Sedentary,32.0,78,2542,5.1,29.6
45–59,Female,Very Active,26.5,52,13636,6.0,50.9
30–44,Male,Sedentary,31.0,57,2838,6.2,39.2
30–44,Male,Very Active,23.0,59,8707,7.7,57.5
18–29,Female,Sedentary,24.6,57,3233,7.0,37.8
45–59,Male,Moderately Active,27.5,57,7735,5.9,51.1
18–29,Female,Lightly Active,24.5,70,8314,8.3,35.9
18–29,Male,Very Active,24.1,52,10008,6.4,59.1
45–59,Female,Moderately Active,26.9,60,11313,7.7,43.3
60+,Female,Sedentary,34.1,63,1407,8.3,37.0
45–59,Female,Sedentary,34.2,80,2483,7.6,28.5
30–44,Male,Moderately Active,27.6,69,11370,4.9,45.3
30–44,Female,Sedentary,22.5,57,3733,8.4,32.0
30–44,Female,Sedentary,24.5,62,3693,4.9,26.0
30–44,Female,Very Active,19.5,54,18405,5.7,48.3
30–44,Female,Moderately Active,19.9,68,12256,8.6,43.7
30–44,Male,Sedentary,36.9,62,3706,8.1,44.3
30–44,Male,Lightly Active,22.6,63,5650,5.5,43.5
60+,Male,Sedentary,23.1,71,2689,8.4,43.4
60+,Female,Moderately Active,24.3,60,11973,7.2,43.8
18–29,Female,Sedentary,25.1,94,3869,8.4,32.4
30–44,Male,Lightly Active,35.5,76,6246,5.3,41.0
18–29,Female,Sedentary,27.6,76,2554,5.1,30.6
30–44,Male,Very Active,23.9,53,13933,8.0,54.8
30–44,Female,Sedentary,24.9,64,2317,7.1,31.7
18–29,Male,Moderately Active,19.2,71,11477,7.8,47.8
45–59,Male,Lightly Active,23.6,73,8161,6.0,48.3
30–44,Male,Moderately Active,22.2,62,11510,5.5,49.4
60+,Female,Sedentary,25.2,65,2964,6.4,39.5
18–29,Female,Very Active,19.0,56,22621,7.0,46.3
18–29,Male,Very Active,23.1,54,15934,6.7,60.1
30–44,Female,Sedentary,27.2,90,4095,6.0,28.4
18–29,Female,Sedentary,21.0,63,2121,8.5,31.9
18–29,Male,Very Active,23.1,52,16730,9.0,56.0
60+,Female,Lightly Active,29.5,68,5016,7.4,37.1
18–29,Male,Very Active,25.7,57,12754,7.4,61.2
18–29,Female,Very Active,17.0,50,13150,8.6,50.3
30–44,Female,Lightly Active,23.6,65,6591,5.8,44.6
30–44,Male,Sedentary,21.9,88,2628,7.8,44.9
30–44,Female,Lightly Active,23.9,75,3393,7.5,37.6
30–44,Male,Moderately Active,28.9,60,9540,5.6,53.9
45–59,Female,Lightly Active,23.6,73,5561,7.8,33.1
18–29,Female,Moderately Active,23.0,65,6652,5.8,42.6
30–44,Male,Lightly Active,23.2,69,7179,6.7,44.3
45–59,Female,Moderately Active,29.7,65,11963,7.8,44.6
60+,Male,Sedentary,17.0,68,3493,6.8,42.3
30–44,Female,Lightly Active,24.3,74,9054,7.5,34.5
30–44,Female,Sedentary,24.5,63,2102,8.0,34.5
18–29,Female,Sedentary,20.0,86,2122,6.8,37.8
18–29,Female,Lightly Active,30.9,81,6448,5.5,40.7
18–29,Female,Very Active,18.5,60,15583,6.8,51.4
45–59,Male,Lightly Active,24.7,72,6700,7.2,48.3
30–44,Male,Lightly Active,26.2,73,7753,7.7,36.0
45–59,Female,Moderately Active,22.1,66,9937,6.9,35.8
18–29,Male,Moderately Active,19.0,57,12772,7.1,56.2
60+,Male,Lightly Active,25.8,78,5343,8.6,47.3
45–59,Male,Lightly Active,23.5,76,5739,5.4,46.0
18–29,Female,Lightly Active,29.7,62,4833,5.6,38.4
18–29,Female,Sedentary,31.7,79,500,6.3,32.8
18–29,Male,Lightly Active,34.3,71,3874,8.1,46.5
60+,Male,Sedentary,29.6,81,3715,6.6,41.0
18–29,Female,Moderately Active,26.4,77,12925,5.2,41.4
30–44,Male,Very Active,21.9,54,11523,5.9,57.8
30–44,Female,Lightly Active,33.3,70,7897,8.5,38.7
45–59,Female,Sedentary,29.1,58,1057,5.7,30.6
30–44,Female,Very Active,22.6,56,12389,9.6,54.1
30–44,Male,Moderately Active,26.2,61,9471,6.5,47.6
60+,Female,Moderately Active,22.4,68,12818,6.5,40.2
18–29,Female,Very Active,21.6,51,22322,5.1,48.2
45–59,Male,Moderately Active,26.2,62,9481,8.3,44.5
18–29,Female,Moderately Active,26.8,60,10349,8.3,42.4
30–44,Male,Lightly Active,28.9,69,8061,8.5,43.4
60+,Female,Very Active,22.6,48,23867,7.7,52.3
45–59,Female,Moderately Active,25.4,53,13113,4.9,42.6
45–59,Male,Sedentary,34.0,54,2031,6.1,33.7
18–29,Male,Moderately Active,21.0,74,12426,8.2,48.3
30–44,Male,Sedentary,29.0,87,2483,6.7,34.6
30–44,Male,Lightly Active,15.0,74,8601,6.8,48.7
30–44,Female,Sedentary,32.8,60,3506,6.9,36.9
30–44,Male,Moderately Active,22.0,69,8249,8.3,51.4
30–44,Female,Lightly Active,23.5,76,8157,4.8,40.6
30–44,Male,Moderately Active,24.1,69,11663,7.8,50.3
18–29,Female,Moderately Active,26.5,62,11376,9.4,44.0
30–44,Female,Lightly Active,36.1,76,6544,8.7,35.6
18–29,Female,Lightly Active,20.3,68,5714,6.6,36.6
60+,Female,Lightly Active,23.1,78,7425,7.5,40.8
45–59,Female,Moderately Active,25.2,70,15343,6.8,39.6
18–29,Female,Very Active,21.1,50,22678,8.3,50.5
45–59,Female,Lightly Active,29.8,74,6223,5.2,35.7
45–59,Male,Moderately Active,24.0,60,5871,7.1,47.5
18–29,Male,Very Active,24.9,58,14083,6.5,61.1
18–29,Male,Moderately Active,23.7,59,10821,7.9,51.9
18–29,Female,Lightly Active,28.7,74,6927,7.4,39.0
18–29,Female,Lightly Active,22.7,76,7847,5.3,34.3
45–59,Female,Very Active,27.4,55,18541,8.3,50.0
60+,Female,Lightly Active,19.7,77,7611,5.5,36.8
18–29,Male,Lightly Active,23.7,74,5549,7.4,40.4
45–59,Female,Lightly Active,20.8,81,5715,5.8,40.0
18–29,Male,Sedentary,33.2,79,2134,5.6,41.7
30–44,Male,Moderately Active,26.2,55,11071,6.5,42.5
45–59,Female,Very Active,19.9,54,19028,5.3,49.3
30–44,Male,Very Active,25.2,50,19741,8.0,63.2
18–29,Female,Moderately Active,22.3,58,4981,7.1,43.8
30–44,Female,Very Active,23.7,49,17646,6.4,56.2
60+,Female,Moderately Active,26.5,63,8207,4.7,44.3
18–29,Male,Very Active,22.2,56,18065,7.7,59.0
18–29,Male,Very Active,25.0,57,12329,6.2,56.2
18–29,Male,Very Active,22.5,59,18570,6.8,53.8
30–44,Male,Sedentary,30.8,74,2482,8.8,36.5
30–44,Male,Sedentary,27.6,63,2499,7.0,44.0
45–59,Male,Sedentary,19.3,69,3642,6.9,39.2
45–59,Female,Moderately Active,24.1,64,9286,7.9,41.1
